t,u1,u2,zT1,zT2
0.069,0.0,1.0,1.9467656001255823e-07,7.019818211799717e-07
0.06925,0.0,1.0,2.4993346862681094e-07,6.932106590605743e-07
0.0695,0.0,1.0,2.3129127272755896e-07,7.079409419415498e-07
0.06975,0.0,1.0,1.5688065184355367e-07,7.173928094838578e-07
0.07,0.0,1.0,1.9511656537659468e-07,7.38924250275432e-07
0.07025,0.0,1.0,2.007033759571532e-07,7.008226416372698e-07
0.07050000000000001,0.0,1.0,2.6785613799197705e-07,7.333057608830558e-07
0.07075000000000001,0.0,1.0,2.382785386495818e-07,7.955975456665828e-07
0.07100000000000001,0.0,1.0,2.0380210692000907e-07,7.341552827856392e-07
0.07125000000000001,0.0,1.0,2.6348531687360955e-07,7.652290785119853e-07
0.07150000000000001,0.0,1.0,2.5108983360705865e-07,7.951210837557642e-07
0.07175000000000001,0.0,1.0,2.2322642889116864e-07,8.01536387400684e-07
0.07200000000000001,0.0,1.0,2.1783391067928854e-07,7.98780208858139e-07
0.07225,0.0,1.0,2.278358029985961e-07,7.679208644796959e-07
0.0725,0.0,1.0,2.7041801643954955e-07,8.548264482917932e-07
0.07275,0.0,1.0,2.769115465630134e-07,7.857245358853327e-07
0.073,0.0,1.0,3.101676463693236e-07,8.947619719807223e-07
0.07325,0.0,1.0,3.112115238882603e-07,8.515922795051243e-07
0.0735,0.0,1.0,3.4400712269572815e-07,8.668660548568204e-07
0.07375,0.0,1.0,3.050356448820769e-07,9.024736816581582e-07
0.074,0.0,1.0,3.1657942160349516e-07,8.895221163008462e-07
0.07425,0.0,1.0,3.5373456818453733e-07,8.376836065215083e-07
0.0745,0.0,1.0,3.4653779380691346e-07,8.798630467924916e-07
0.07475,0.0,1.0,3.3237183409021376e-07,8.741545547729347e-07
0.075,0.0,1.0,2.8812990544724785e-07,9.58511238208835e-07
0.07525,0.0,1.0,3.379487469400732e-07,8.731231007083383e-07
0.0755,0.0,1.0,3.4043730619391524e-07,9.487455037445489e-07
0.07575,0.0,1.0,3.899997922760598e-07,9.6369423047724e-07
0.076,0.0,1.0,3.935738358121427e-07,9.41302072095029e-07
0.07625,0.0,1.0,3.667357514235691e-07,9.961633968816148e-07
0.0765,0.0,1.0,4.011219693745926e-07,9.433887128436048e-07
0.07675,0.0,1.0,3.36642117267952e-07,9.640835177898398e-07
0.077,0.0,1.0,3.547568245696244e-07,1.011810015465288e-06
0.07725,0.0,1.0,3.569640648889964e-07,9.529020678974073e-07
